ticker,volatility,avg_price,len,smape_standard,smape_tuned,winsorized_pct
MOMO,Medium-High,13.247759662754834,2560,0.6645522405120834,0.37474135137112996,0.284375
ANF,Medium,30.442944583147828,7143,0.1871253477903442,0.18421899994398874,0.41523169536609267
KW,Medium-Low,11.792285730943968,4329,0.2283524069999274,0.18500471538589477,0.36567336567336567
WMG,Medium-Low,31.358986413589697,1183,0.0902484825100659,0.06228719084981134,0.39137785291631444
LIN,Medium-Low,94.84971821271904,8225,0.0524617612841584,0.05292819066635705,0.3798176291793313
BURL,Medium,149.6229325040826,2861,1.218545841878789,0.32550932966359825,0.39951066060817897
RRC,Medium-High,18.94040215209734,11257,0.1649240487133343,0.16618918251348047,0.22279470551656747
AURI,High,163.55501518452738,5494,1.3606025853691888,1.1221606281896133,0.16326902074990898
UPXI,High,56.60677729423389,916,1.996494797234652,0.8695958381747224,0.2816593886462882
FRO,Medium-High,25.14410998475596,5918,0.2955451625867525,0.26960857510668046,0.2958769854680635
MSPR,High,2506.3733686659198,1085,2.0,2.0,0.3142857142857143
BSTZ,Medium-Low,17.715501695892357,1419,0.2062147383016908,0.0897895507034417,0.41296687808315713
BBAX,Medium-Low,43.53311489005144,1639,0.0697284933945086,0.04384253490190766,0.3685173886516168
BHC,Medium,28.87109897315602,7774,0.1424941719424698,0.15044709842280285,0.38950347311551325
SMIN,Medium-Low,37.87872302976409,3274,0.0535401280354204,0.049563455064191984,0.4276114844227245
QLTA,Low,42.78591295687494,3269,0.0294821021384478,0.028031416539648007,0.5420617925971245
PII,Medium-Low,36.33804747009563,9427,0.1292506588458205,0.10795856241575431,0.37562320992892756
FTK,High,52.49332042734596,4921,0.765385198328581,0.5642326702718464,0.2849014427961796
AAP,Medium-Low,81.21208169659897,5841,1.8143820450785415,0.6743546830038945,0.3982194829652457
ALT,High,15.164505146006476,1942,1.7131096764148068,0.8813450779035581,0.3063851699279094
CLOI,Low,47.902824734565904,665,0.0134167142609816,0.0042466316046357675,0.8661654135338346
DESP,Medium,12.92652255584807,1862,0.6542877368029806,0.556783790588314,0.37218045112781956
ETR,Medium-Low,10.763794280867272,13289,0.3387460294242602,0.20464404704416453,0.37436977951689365
PFFD,Low,18.27545363445629,1866,0.1496197681587547,0.14863288770720745,0.5643086816720257
OCGN,High,83.40440953853928,2566,1.7374622846708636,1.497423345329247,0.25759937646141856
JAMF,Medium,25.506810256353766,1149,0.0967060792893897,0.09048422286256037,0.32811140121845084
ENGIY,Medium-Low,12.570787971118229,4164,0.0719374894500563,0.06365474683423072,0.38472622478386165
CCSI,Medium-High,37.27514741105853,848,0.0837894741552694,0.09256952949746047,0.2511792452830189
MSA,Medium-Low,28.143425611222064,13108,0.1122509874451945,0.0919881398066615,0.3112602990540128
ATXS,High,91.97402449579938,2426,0.7175739530204119,0.7404230993212069,0.298845836768343
POWL,Medium,20.02517080869995,11323,0.3527990820715035,0.3013773557896274,0.3212046277488298
INCY,Medium-High,37.05927805280455,7874,0.162504242467748,0.11654487483489277,0.3016256032512065
MIGI,High,2250.530098393797,3266,1.8611556160559053,1.8291233466605683,0.16105327617881202
JAGX,High,6732782.592160362,2457,1.9997871012832156,1.9997840119312307,0.3593813593813594
ICOW,Low,24.873330485468152,1927,0.0625335621970829,0.03454302396520072,0.508562532433835
AMTB,Medium,20.35929880682028,1590,0.4821660421218587,0.16975869479848144,0.3622641509433962
IBTM,Low,21.90650053533889,655,0.0594646108520644,0.03003062035377068,0.5511450381679389
PREF,Low,15.935053075207826,1912,0.0992456104298691,0.09878807108174037,0.676255230125523
DOGZ,High,42.258115942574925,1799,1.4257650048578094,0.8982680911906402,0.27515286270150086
GUSH,High,1473.584266478396,2445,1.6325753962969076,1.5231379825721,0.3137014314928425
OIS,Medium,21.398137946338053,6040,0.2552735760572417,0.15316458928634813,0.39089403973509934
TCBI,Medium,43.18692776017372,5413,0.2063979826453776,0.13191754112088958,0.3825974505819324
ENGN,High,10.089617286722126,763,0.295285507920889,0.22261498751538905,0.2595019659239843
ADYEY,Medium,16.39354259243718,1350,0.366369742277965,0.407201833705942,0.3977777777777778
ACB,High,220.1506057574646,2665,1.9651210923406224,1.9193099752385785,0.2881801125703565
